Agentes del Seguro para el Personal de Direcci&oacute;n.
Listado descargado el día 24-11-2024 22:47

rnos	denominacion	sigla	domicilio	localidad	cp	provincia	telefono	otros_telefonos	e_mail	web	
400107	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LAS EMPRESAS DE LA ALIMENTACION Y DEMAS ACTIVIDADES EMPRESARIAS                                                                                                	OPDEA             	BERNANDO DE IRIGOYEN 540 PISO 2#                  	1072	CAPITAL FEDERAL               	0800-999-6733       	info@opdea.org.ar	www.opdea.org
400206	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA AUTOMOTRIZ ARGENTINA                                                                                                                              	OSPREME           	ARRIBEÑOS 3619 PISO 9                             	1429	CAPITAL FEDERAL               	0800-999-7384       	administraciòn@ospreme.com.ar	VER OBS PTE. JORGE LUIS SEVERINO
400305	OBRA SOCIAL COOPERATIVA LTDA.  DE ASISTENCIA MEDICA Y FARMACEUTICA, SERVICIOS ASISTENCIALES Y TURISMO DEL PERSONAL SUPERIOR DE LA INDUSTRIA DEL CAUCHO Y OTRAS ACTIVIDADES INDUSTRIALES                 	CAMPSIC           	DR. EMILIO RAVIGNANI 2540                         	1425	CAPITAL FEDERAL               	                    	info@oscampsic.com	www.campsic.com
400404	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA CERVECERA Y MALTERA                                                                                                                               	SERVESALUD        	RODRIGUEZ PEÑA 1474                               	1021	CAPITAL FEDERAL               	0800-362-7398       	sedece@servesalud.com.ar
400503	OBRA SOCIAL DE LA ASOCIACION DEL PERSONAL DE DIRECCION Y JERARQUICO DE LA INDUSTRIA DEL CIGARRILLO                                                                                                      	APDJIC            	LAVALLE N§ 445 PISO 4§                            	1047	CAPITAL FEDERAL               	                    	asociacion@aicsalud.com.ar
400602	OBRA SOCIAL DEL PERSONAL DIRECTIVO DE LA INDUSTRIA DE LA CONSTRUCCION                                                                                                                                   	OSDIC             	BILLINGHURST 1662 PISO 2                          	1425	CAPITAL FEDERAL
400701	OBRA SOCIAL PERSONAL DE DIRECCION DE LA INDUSTRIA CURTIDORA ARGENTINA                                                                                                                                   	                  	AVDA. BELGRANO 3978                               	1210	CAPITAL FEDERAL
400800	OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECCION DE EMPRESAS                                                                                                                                       	OSDE              	AVDA. LEANDRO N. ALEM 1067 PISO 9                 	1001	CAPITAL FEDERAL               	0800-555-6733       	gerencia@osde.com.ar	www.osde.com.ar
400909	OBRA SOCIAL DEL PERSONAL DE DIRECCION  ACCION SOCIAL DE EMPRESARIOS (A:S:E.)                                                                                                                            	ASE               	LIMA 87 PISO 8                                    	1073	CAPITAL FEDERAL               	0810-333-3273       	ase@ase.com.ar	www.ase.com.ar
401001	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LAS EMPRESAS QUE ACTUAN EN FRUTOS DEL PAIS                                                                                                                     	FRUTOS            	BALCARCE 880  PISO 1§                             	1064	CAPITAL FEDERAL               	                    	frutosdelpais@sion.com
